Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,3740.000000,3790.000000,3680.000000,3720.000000,3569.766846,119137700
2022-12-20,3730.000000,3750.000000,3700.000000,3720.000000,3569.766846,55351300
2022-12-21,3690.000000,3790.000000,3670.000000,3790.000000,3636.939941,98741000
2022-12-22,3800.000000,3810.000000,3740.000000,3750.000000,3598.555420,68702100
2022-12-23,3710.000000,3780.000000,3700.000000,3780.000000,3627.343750,45179400
2022-12-26,3780.000000,3800.000000,3730.000000,3750.000000,3598.555420,19216700
2022-12-27,3770.000000,3840.000000,3750.000000,3810.000000,3656.132324,49816500
2022-12-28,3800.000000,3810.000000,3710.000000,3730.000000,3579.363037,65006300
2022-12-29,3720.000000,3790.000000,3710.000000,3780.000000,3627.343750,51703500
2022-12-30,3760.000000,3800.000000,3750.000000,3750.000000,3598.555420,79677300
2023-01-02,3750.000000,3800.000000,3750.000000,3800.000000,3646.536133,7959900
2023-01-03,3790.000000,3890.000000,3770.000000,3860.000000,3704.113037,64235000
2023-01-04,3840.000000,3860.000000,3810.000000,3820.000000,3665.728271,56785600
2023-01-05,3800.000000,3820.000000,3720.000000,3770.000000,3617.747559,135167000
2023-01-06,3750.000000,3770.000000,3710.000000,3710.000000,3560.170654,65207400
2023-01-09,3730.000000,3790.000000,3730.000000,3790.000000,3636.939941,46616400
2023-01-10,3810.000000,3850.000000,3750.000000,3830.000000,3675.324463,80009900
2023-01-11,3820.000000,3900.000000,3790.000000,3870.000000,3713.708984,75139300
2023-01-12,3790.000000,3900.000000,3780.000000,3860.000000,3704.113037,105775500
2023-01-13,3820.000000,3860.000000,3770.000000,3780.000000,3627.343750,85780600
2023-01-16,3780.000000,3850.000000,3780.000000,3850.000000,3694.516846,58918700
2023-01-17,3870.000000,3990.000000,3860.000000,3950.000000,3790.478271,132256600
2023-01-18,4010.000000,4010.000000,3900.000000,3930.000000,3771.285889,94772000
2023-01-19,3900.000000,3980.000000,3880.000000,3890.000000,3732.901367,109555200
2023-01-20,3910.000000,3920.000000,3850.000000,3870.000000,3713.708984,88457800
2023-01-24,3890.000000,3910.000000,3850.000000,3850.000000,3694.516846,45504900
2023-01-25,3850.000000,3880.000000,3810.000000,3840.000000,3684.920654,80575100
2023-01-26,3850.000000,4000.000000,3850.000000,3970.000000,3809.670654,117238000
2023-01-27,3970.000000,3990.000000,3950.000000,3960.000000,3800.074463,100769500
2023-01-30,3960.000000,3970.000000,3910.000000,3960.000000,3800.074463,59425300
2023-01-31,3940.000000,3950.000000,3850.000000,3850.000000,3694.516846,179726700
2023-02-01,3850.000000,3900.000000,3840.000000,3870.000000,3713.708984,70997300
2023-02-02,3850.000000,3900.000000,3840.000000,3890.000000,3732.901367,78852300
2023-02-03,3910.000000,3920.000000,3870.000000,3880.000000,3723.305176,55154800
2023-02-06,3860.000000,3910.000000,3850.000000,3880.000000,3723.305176,58861300
2023-02-07,3880.000000,3880.000000,3800.000000,3800.000000,3646.536133,76254900
2023-02-08,3800.000000,3850.000000,3790.000000,3840.000000,3684.920654,65856500
2023-02-09,3840.000000,3840.000000,3760.000000,3770.000000,3617.747559,91337300
2023-02-10,3750.000000,3800.000000,3690.000000,3800.000000,3646.536133,88759600
2023-02-13,3800.000000,3810.000000,3750.000000,3790.000000,3636.939941,69004400
2023-02-14,3830.000000,3830.000000,3760.000000,3800.000000,3646.536133,80331100
2023-02-15,3810.000000,3820.000000,3730.000000,3790.000000,3636.939941,59028200
2023-02-16,3800.000000,3800.000000,3750.000000,3770.000000,3617.747559,49869900
2023-02-17,3770.000000,3770.000000,3720.000000,3760.000000,3608.151367,50369000
2023-02-20,3760.000000,3820.000000,3760.000000,3820.000000,3665.728271,57438900
2023-02-21,3850.000000,3870.000000,3830.000000,3840.000000,3684.920654,63880300
2023-02-22,3850.000000,3870.000000,3800.000000,3860.000000,3704.113037,48505600
2023-02-23,3950.000000,3970.000000,3890.000000,3970.000000,3809.670654,109147100
2023-02-24,4000.000000,4040.000000,3950.000000,4040.000000,3876.843506,142165700
2023-02-27,3990.000000,4000.000000,3920.000000,3960.000000,3800.074463,66461600
2023-02-28,3930.000000,3970.000000,3880.000000,3880.000000,3723.305176,115766900
2023-03-01,3930.000000,3990.000000,3910.000000,3930.000000,3771.285889,47395200
2023-03-02,3900.000000,3930.000000,3880.000000,3880.000000,3723.305176,43208800
2023-03-03,3880.000000,3920.000000,3870.000000,3900.000000,3742.497559,49796000
2023-03-06,3940.000000,3950.000000,3870.000000,3880.000000,3723.305176,50103800
2023-03-07,3890.000000,3910.000000,3850.000000,3880.000000,3723.305176,59086800
2023-03-08,3850.000000,3940.000000,3850.000000,3940.000000,3780.882080,78551000
2023-03-09,3970.000000,4000.000000,3960.000000,3970.000000,3809.670654,68725500
2023-03-10,3960.000000,4020.000000,3930.000000,4010.000000,3848.055176,76136200
2023-03-13,4020.000000,4090.000000,3980.000000,4070.000000,3905.632080,104663300
2023-03-14,4030.000000,4090.000000,4000.000000,4020.000000,3857.651367,111430100
2023-03-15,4050.000000,4050.000000,3990.000000,4010.000000,3848.055176,65025400
2023-03-16,4040.000000,4060.000000,3980.000000,4050.000000,3886.439697,96707900
2023-03-17,4090.000000,4100.000000,4030.000000,4050.000000,3886.439697,232270900
2023-03-20,4050.000000,4050.000000,3940.000000,3990.000000,3828.862793,105982700
2023-03-21,4000.000000,4120.000000,4000.000000,4120.000000,3953.612793,88808200
